Data,lat,long,Total Cases at this Location,date_confirmation,days_since_start,Total Passengers,City,State,Population,normalized_rank,num_bins
Cases,37.91727452,-121.9256384,7,3/6/2020,46,,,,,1,8
Cases,37.91727452,-121.9256384,7,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,43.01408736,-75.64645699,10,3/6/2020,46,,,,,1,8
Cases,39.78153802,-86.13874629,1,3/6/2020,46,,,,,1,8
Cases,40.98946879,-112.1107585,1,3/6/2020,46,,,,,1,8
Cases,26.57955075,-81.82734485,1,3/6/2020,46,,,,,1,8
Cases,26.15218767,-80.48771463,2,3/6/2020,46,,,,,1,8
Cases,26.15218767,-80.48771463,2,3/6/2020,46,,,,,1,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,47.74755422,-123.5980819,1,3/6/2020,46,,,,,1,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,48.04818,-121.696,19,3/6/2020,46,,,,,1,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,47.49133,-121.804,58,3/6/2020,46,,,,,2,8
Cases,37.64681081,-121.8872713,2,3/6/2020,46,,,,,1,8
Cases,37.7775,-122.416,3,3/6/2020,46,,,,,1,8
Cases,34.45795413,-119.0853878,1,3/6/2020,46,,,,,1,8
Cases,38.27924603,-121.9292725,3,3/6/2020,46,,,,,1,8
Cases,38.52944732,-122.888016,3,3/6/2020,46,,,,,1,8
Cases,38.52944732,-122.888016,3,3/6/2020,46,,,,,1,8
Cases,32.905945,-111.3436998,2,3/6/2020,46,,,,,1,8
Cases,30.30135289,-95.50545527,1,3/6/2020,46,,,,,1,8
Cases,41.84368402,-87.81673673,3,3/6/2020,46,,,,,1,8
Cases,38.44207206,-84.33169087,2,3/6/2020,46,,,,,1,8
Cases,34.33967981,-80.59100706,1,3/6/2020,46,,,,,1,8
Cases,40.96031581,-74.07497372,3,3/6/2020,46,,,,,1,8
Cases,39.80511608,-74.95992532,2,3/6/2020,46,,,,,1,8
Cases,19.59887904,-155.5183988,1,3/6/2020,46,,,,,1,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,48.04818,-121.696,27,3/7/2020,47,,,,,1,8
Cases,47.02357632,-122.1021305,3,3/7/2020,47,,,,,1,8
Cases,48.04818,-121.696,27,3/7/2020,47,,,,,1,8
Cases,38.71974,-77.1546,1,3/7/2020,47,,,,,1,8
Cases,32.905945,-111.3436998,4,3/7/2020,47,,,,,1,8
Cases,32.905945,-111.3436998,4,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,43.01408736,-75.64645699,23,3/7/2020,47,,,,,1,8
Cases,38.88362378,-94.82234639,1,3/7/2020,47,,,,,1,8
Cases,34.32402027,-118.2265977,3,3/7/2020,47,,,,,1,8
Cases,30.70679859,-86.59723567,1,3/7/2020,47,,,,,1,8
Cases,29.05730729,-81.18413567,1,3/7/2020,47,,,,,1,8
Cases,26.90638581,-81.89890344,1,3/7/2020,47,,,,,1,8
Cases,26.57955075,-81.82734485,2,3/7/2020,47,,,,,1,8
Cases,39.56270717,-76.31897213,1,3/7/2020,47,,,,,1,8
Cases,39.13748574,-77.20252273,4,3/7/2020,47,,,,,1,8
Cases,38.90867251,-77.01539026,1,3/7/2020,47,,,,,1,8
Cases,40.21122015,-75.36693918,2,3/7/2020,47,,,,,1,8
Cases,40.21122015,-75.36693918,2,3/7/2020,47,,,,,1,8
Cases,37.23166,-121.693,31,3/7/2020,47,,,,,1,8
Cases,37.23166,-121.693,31,3/7/2020,47,,,,,1,8
Cases,37.23166,-121.693,31,3/7/2020,47,,,,,1,8
Cases,37.23166,-121.693,31,3/7/2020,47,,,,,1,8
Cases,37.23166,-121.693,31,3/7/2020,47,,,,,1,8
Cases,37.23166,-121.693,31,3/7/2020,47,,,,,1,8
Cases,37.23166,-121.693,31,3/7/2020,47,,,,,1,8
Cases,37.23166,-121.693,31,3/7/2020,47,,,,,1,8
Cases,47.02357632,-122.1021305,3,3/7/2020,47,,,,,1,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,48.04818,-121.696,27,3/7/2020,47,,,,,1,8
Cases,48.04818,-121.696,27,3/7/2020,47,,,,,1,8
Cases,48.04818,-121.696,27,3/7/2020,47,,,,,1,8
Cases,48.04818,-121.696,27,3/7/2020,47,,,,,1,8
Cases,48.04818,-121.696,27,3/7/2020,47,,,,,1,8
Cases,48.04818,-121.696,27,3/7/2020,47,,,,,1,8
Cases,47.12498581,-120.6789689,1,3/7/2020,47,,,,,1,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
Cases,47.49133,-121.804,70,3/7/2020,47,,,,,2,8
